userid,departmentid
32448227,24441339
27073611,17661663
33338728,32939537
17673848,17742705
29717632,21360012
3550522,26530633
3430864,61951607
3853297,17571403
1243705,33419533
1437542,17660778
1796048,26484379
1600569,7680271
1997887,1997856
1035881,21638426
4257776,13972664
4898528,33419545
4725431,25161076
5236669,5236885
5236367,14763277
5236382,14763367
5242531,25364615
5242271,10779307
5241585,30390765
5229931,10779379
5234653,5227052
5232600,31111975
5231741,15377365
5231637,10771489
5219287,5236887
5219062,13887198
5213907,25160065
5187817,14763293
5189971,2951529
5158572,5242310
5146758,1468550
5146131,31023083
5101693,12335844
12146537,21852881
11497425,32860319
13172445,26653184
54043507,26545573
62794639,32971544
60471241,66107719
58816614,17657330
24057014,23586400
21832615,21832515
21836581,21729794
28426528,23109369
32914416,27235632
29518977,26640816
546996,26183215
7809308,24355309
8212748,4756175
4759353,25364615
4733702,4733703
5225349,10780123
5212391,10780383
54012061,22179691
54316482,26652729
51067104,32589193
56391807,21717301
30980833,30980834
29738640,52678292
6970045,17186991
5226079,61951488
5209861,10779988
5145632,10780243
66453987,21175031
30759311,26542993
627690,24355309
6450289,52678374
5220826,10780340
26679406,22244589
26528343,31054551
32672917,25462550
32869673,25151315
29643028,26755155
4757163,23761387
5233172,5242275
5231828,3087622
8626520,26495243
9043325,9043326
60936946,28447413
59800389,26541764
23340369,24647638
21308257,24642630
28359041,28455067
23226339,17733453
13989257,5230386
58136097,30735704
28480360,51775022
29185332,25160246
27167637,26755155
25429313,61160387
177843,8016375
4672788,65204971
4751869,26640829
5229274,14763291
27191959,19876034
32069779,27196822
5087988,21842335
151927,24365939
65953207,58450795
26538622,26547574
5241481,7396079
25162250,17011373
4732141,13635592
1884461,21769343
4759333,31247076
66825372,14763315
24442623,66107719
5196225,5228097
15167745,6495988
33479097,28451947
27092362,26547290
27128662,19876034
26911948,6057287
25987601,26641993
5240751,1202681
21846887,21861653
51393552,26494325
15603074,14837913
29206355,19876045
56396433,21031487
5216743,26617763
31823975,26617763
27236092,25164789
5212812,10780198
62408471,26274623
5218106,10780238
58544203,21852382
27075869,28774131
7188568,26624262
5197008,52326153
4719807,31594037
33507278,28688306
26534169,26646046
31722202,26641993
5145717,14788217
16875555,1979842
25156715,25152014
21856010,6426276
21856217,21863203
21822165,21822166
21815138,21861923
28456101,28456208
28356635,25153204
28737519,15387505
27475450,27475297
26581443,4748948
26538276,26540308
26885975,26542508
27176570,26541994
27018460,26541640
26119882,777723
2481549,24886680
1752121,21863523
6890864,26533999
4759326,13328825
5241401,5241402
5239696,7987583
5229249,5511737
5152626,29947270
5241162,13016251
5145558,10780168
27211494,4690388
26628285,24355704
25116514,16893458
21729328,13625386
24436717,17328935
21841300,21852703
26615393,22179691
26647956,26647957
27220619,26624425
27125246,24868025
33410241,24366692
33404792,33419645
25160657,24149886
25441525,19159628
24131572,17589709
28206568,25164789
25160940,25160938
28699755,17138706
24857421,24158842
25431334,28561792
25163290,17002381
26959914,8644141
22714088,24148601
24429927,17734844
24429995,24442005
21296616,25161437
27594983,53977051
17657267,17682964
21754617,21754618
26534118,24642630
21301753,24429675
25160411,23241634
27043969,24262633
24377324,52678307
26549556,24615801
21599512,21332228
21455228,24003375
32960653,11430783
28369612,15297356
25179498,26624227
27239346,28766264
21505595,21531782
33394017,33419332
28252406,23345068
21757252,25160798
25225527,18642122
24130410,24190818
21849069,21849070
25153518,24647771
33383775,27245860
22185539,22185540
24432628,17815496
27227149,25239551
27176167,28456989
27235183,19633575
26541151,19875891
32632857,57263915
32965356,32965357
26874120,28423711
25175760,9998278
25317931,26542437
32820774,28412737
25131995,52677799
21842631,50342779
28455286,28455287
26866663,52677831
21848825,31241792
27191576,15050265
21805761,21806322
25151364,24870661
16808546,13635592
24441457,23774028
22958745,22167458
25644891,26249658
19020736,19247796
25153074,14763457
24130105,17655292
33410857,33410940
23985386,25163693
26958314,26547401
21828863,21315502
25199116,15297658
27174900,28724387
28540662,17002381
21718216,21718217
24894658,31366220
25160406,25160726
27032030,25158759
25835178,5935424
25216528,26642928
27158430,26494325
25221388,22621464
26549647,21836733
25550107,23721823
27806261,24954364
28579296,29739118
27554209,21794365
